Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,42,45,0,0.0034449100494384766,2,0,0.037
1,north/g.13.45.graphml,13,13,0,12,4,24,16,0,0.001611948013305664,2,0,0.002
2,north/g.10.11.graphml,10,10,0,30,0,40,15,0,0.0021347999572753906,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,72,75,0,0.0035409927368164062,2,0,0.005
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,62,69,0,0.0027751922607421875,2,0,0.004
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,61,72,0,0.002410888671875,2,0,0.003
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,195,312,0,0.006011009216308594,2,0,0.01
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,36,28,0,0.0019161701202392578,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,70,68,156,223,0,0.010139942169189453,2,1,0.016
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,126,168,0,0.008529901504516602,2,1,0.013
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,43,34,0,0.0028600692749023438,2,0,0.003
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,74,91,0,0.003776073455810547,2,0,0.005
12,north/g.12.78.graphml,12,13,1,20,16,49,53,1,0.003086090087890625,2,0,0.003
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,64,86,2,0.002743959426879883,2,0,0.004
14,north/g.11.21.graphml,11,11,0,0,0,3,0,0,0.00025010108947753906,2,0,0.001
15,north/g.12.49.graphml,12,14,0,26,20,60,63,0,0.0031270980834960938,2,0,0.004
16,north/g.14.31.graphml,14,17,0,20,12,47,40,0,0.0024309158325195312,2,0,0.003
