Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,42,43,0,0.009671926498413086,2,1,0.029
1,north/g.13.45.graphml,13,13,0,12,4,24,16,0,0.0026121139526367188,2,0,0.002
2,north/g.10.11.graphml,10,10,0,30,0,40,15,0,0.0022988319396972656,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,72,75,0,0.0026280879974365234,2,0,0.003
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,62,67,0,0.024311065673828125,2,1,0.003
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,61,68,0,0.023324966430664062,2,1,0.003
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,195,280,0,0.0052530765533447266,2,0,0.008
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,36,28,0,0.002131938934326172,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,70,68,156,205,0,0.017328977584838867,2,1,0.007
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,126,162,0,0.016604185104370117,2,1,0.006
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,43,34,0,0.0024690628051757812,2,0,0.002
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,74,87,0,0.01337289810180664,2,1,0.003
12,north/g.12.78.graphml,12,13,1,20,16,49,50,1,0.013014078140258789,2,1,0.002
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,64,77,2,0.002389192581176758,2,0,0.003
14,north/g.11.21.graphml,11,11,0,0,0,3,0,0,0.00017714500427246094,2,0,0.001
15,north/g.12.49.graphml,12,14,0,26,20,60,63,0,0.012717962265014648,2,1,0.003
16,north/g.14.31.graphml,14,17,0,20,12,47,40,0,0.01252889633178711,2,0,0.002
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,32,34,79,101,1,0.023929834365844727,2,1,0.004
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,24,22,61,67,0,0.012415170669555664,2,1,0.003
