Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,30,47,0,0.001383066177368164,2,0,0.024
1,north/g.13.45.graphml,13,13,0,62,4,66,155,0,0.0005071163177490234,2,0,0.005
2,north/g.10.11.graphml,10,10,0,30,0,30,55,0,5.1021575927734375e-05,2,0,0.003
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,54,87,0,0.0030219554901123047,2,0,0.004
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,46,73,0,0.0004239082336425781,2,0,0.003
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,48,80,0,0.0017101764678955078,2,0,0.003
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,176,380,0,0.024499893188476562,2,1,0.01
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,24,32,0,0.0005421638488769531,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,80,76,156,342,0,0.014436960220336914,2,1,0.009
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,108,210,0,1.1366348266601562,2,1,0.007
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,28,38,0,0.000762939453125,2,0,0.003
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,62,115,0,0.023529052734375,2,1,0.005
12,north/g.12.78.graphml,12,13,1,20,16,36,60,1,0.0018839836120605469,2,0,0.003
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,50,91,2,0.002084016799926758,2,0,0.004
14,north/g.11.21.graphml,11,11,0,72,0,72,204,0,7.486343383789062e-05,2,0,0.006
15,north/g.12.49.graphml,12,14,0,26,20,46,75,0,0.0015931129455566406,2,0,0.003
16,north/g.14.31.graphml,14,17,0,28,16,44,62,0,0.0005240440368652344,2,0,0.003
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,32,34,66,119,1,0.002017974853515625,2,0,0.004
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,32,26,58,95,0,0.013374090194702148,2,1,0.004
19,north/g.15.14.graphml,15,18,0,62,46,108,226,0,0.0024797916412353516,2,0,0.009
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,76,94,170,371,1,0.01499795913696289,2,1,0.011
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,66,80,146,351,3,0.015275001525878906,2,1,0.01
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,74,86,160,340,0,0.0027108192443847656,2,0,0.01
23,north/g.11.3.graphml,11,11,0,14,10,24,34,0,0.0007860660552978516,2,0,0.002
