Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.002134084701538086,2,0,0.027
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,9.012222290039062e-05,2,0,0.004
2,north/g.10.11.graphml,10,10,0,15,0,15,40,0,7.200241088867188e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,27,36,0,7.486343383789062e-05,2,0,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,23,28,0,0.022676944732666016,2,1,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,24,34,0,0.023459911346435547,2,1,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,88,204,0,0.013381004333496094,2,1,0.007
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,12,12,0,0.0005540847778320312,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,78,202,0,0.02344799041748047,2,1,0.006
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,54,104,0,0.022120952606201172,2,1,0.004
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,14,14,0,5.1021575927734375e-05,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,31,60,0,0.011009931564331055,2,1,0.002
12,north/g.12.78.graphml,12,13,1,10,8,18,23,1,0.0010859966278076172,2,0,0.001
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,25,41,2,0.026168107986450195,2,1,0.002
14,north/g.11.21.graphml,11,11,0,36,0,36,168,0,8.893013000488281e-05,2,0,0.005
15,north/g.12.49.graphml,12,14,0,13,10,23,32,0,0.010737180709838867,2,1,0.002
16,north/g.14.31.graphml,14,17,0,14,8,22,24,0,0.0006020069122314453,2,0,0.001
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,33,54,1,0.025656938552856445,2,1,0.002
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,29,40,0,0.010737895965576172,2,1,0.002
19,north/g.15.14.graphml,15,18,0,31,23,54,126,0,0.011534929275512695,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,85,203,1,0.012727975845336914,2,1,0.006
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,73,195,3,0.03345489501953125,2,1,0.006
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,80,174,0,0.012356042861938477,2,1,0.006
23,north/g.11.3.graphml,11,11,0,7,5,12,12,0,0.000843048095703125,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,90,216,5,0.04879403114318848,2,1,0.007
25,north/g.10.13.graphml,10,10,0,8,7,15,22,0,0.0008778572082519531,2,0,0.001
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,27,39,1,0.0011148452758789062,2,0,0.002
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,42,80,0,0.021952152252197266,2,1,0.003
28,north/g.11.73.graphml,11,14,0,9,6,15,16,0,0.010329008102416992,2,1,0.001
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,25,28,53,139,2,0.03378009796142578,2,1,0.005
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,19,15,34,60,0,0.011006832122802734,2,1,0.002
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,8,7,15,18,0,0.0010089874267578125,2,0,0.001
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,5,2,7,4,0,4.887580871582031e-05,2,0,0.001
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,24,22,46,90,0,0.011744976043701172,2,1,0.003
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,24,26,50,88,1,0.016106128692626953,2,1,0.003
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,35,37,72,164,0,0.02290201187133789,2,1,0.005
36,north/g.15.11.graphml,15,19,0,17,7,24,28,0,9.202957153320312e-05,2,0,0.001
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,23,20,43,84,1,0.015964031219482422,2,1,0.003
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,9,7,16,18,0,0.02163100242614746,2,1,0.001
39,Rome-Lib/graficon11nodi/grafo2964.11,11,19,0,18,11,29,38,0,0.01058816909790039,2,1,0.002
40,north/g.14.16.graphml,14,14,0,30,20,50,120,0,0.01147007942199707,2,1,0.004
41,Rome-Lib/graficon11nodi/grafo2139.11,11,15,3,24,32,56,125,4,0.022975921630859375,2,1,0.004
42,Rome-Lib/graficon11nodi/grafo3097.11,11,14,0,10,7,17,20,0,0.0010881423950195312,2,0,0.001
43,north/g.12.121.graphml,12,15,9,20,37,57,167,9,0.022691011428833008,2,1,0.005
44,north/g.12.45.graphml,12,14,0,18,14,32,56,0,0.0012540817260742188,2,0,0.002
45,north/g.18.34.graphml,18,19,0,28,6,34,90,0,0.0011370182037353516,2,0,0.003
46,Rome-Lib/graficon14nodi/grafo285.14,14,18,1,31,35,66,147,1,0.022404909133911133,2,1,0.005
47,north/g.16.55.graphml,16,16,1,49,6,55,255,1,0.0022809505462646484,2,0,0.008
48,north/g.10.74.graphml,10,12,0,14,14,28,50,1,0.012237787246704102,2,1,0.002
49,Rome-Lib/graficon13nodi/grafo530.13,13,14,0,22,22,44,82,0,0.01123499870300293,2,1,0.003
50,Rome-Lib/graficon20nodi/grafo755.20,20,28,0,61,62,123,298,2,0.04750990867614746,2,1,0.009
