Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,30,47,0,0.0012149810791015625,2,0,0.033
1,north/g.13.45.graphml,13,13,0,12,4,16,20,0,0.0004591941833496094,2,0,0.002
2,north/g.10.11.graphml,10,10,0,30,0,30,55,0,2.5987625122070312e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,54,87,0,0.0023598670959472656,2,0,0.004
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,46,73,0,0.0002281665802001953,2,0,0.003
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,48,80,0,0.0011129379272460938,2,0,0.003
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,176,388,0,0.0235750675201416,2,1,0.011
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,24,32,0,0.0003859996795654297,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,70,68,138,307,0,0.013067960739135742,2,1,0.009
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,108,212,0,0.0017249584197998047,2,0,0.007
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,28,38,0,0.00043201446533203125,2,0,0.002
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,62,119,0,0.01098489761352539,2,1,0.004
12,north/g.12.78.graphml,12,13,1,20,16,36,56,1,0.011343955993652344,2,1,0.002
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,50,91,2,0.0014629364013671875,2,1,0.004
14,north/g.11.21.graphml,11,11,0,0,0,0,0,0,0.00011777877807617188,2,0,0.0
15,north/g.12.49.graphml,12,14,0,26,20,46,75,0,0.0008218288421630859,2,0,0.003
16,north/g.14.31.graphml,14,17,0,20,12,32,44,0,0.0002090930938720703,2,0,0.002
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,32,34,66,121,1,0.0015189647674560547,2,1,0.004
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,24,22,46,75,0,0.0014019012451171875,2,0,0.003
19,north/g.15.14.graphml,15,18,0,40,34,74,135,0,0.010776996612548828,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,76,94,170,382,1,0.013129949569702148,2,1,0.01
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,66,80,146,347,3,0.012670040130615234,2,1,0.009
